Unit_Number,Predicted_RUL,Health_Status,Recommended_Action,Priority,Explanation
63,72.19,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
64,38.22,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
65,156.48,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
66,16.51,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
67,89.35,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
68,8.33,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
69,137.37,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
70,93.45,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
71,144.12,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
72,63.13,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
73,90.98,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
74,114.26,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
75,86.31,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
76,2.67,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
77,34.06,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
78,182.38,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
79,74.4,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
80,73.07,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
81,5.08,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
82,11.27,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
83,162.93,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
84,60.32,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
85,147.84,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
86,151.85,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
87,125.61,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
88,109.23,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
89,110.46,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
90,33.0,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
91,30.12,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
92,16.74,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
93,59.4,Maintenance Required Soon,Plan maintenance,High,Schedule maintenance promptly to avoid imminent failure risk.
94,63.05,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
95,95.79,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
96,121.34,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
97,71.1,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
98,72.99,Schedule Maintenance,Schedule preventive maintenance,Medium,Plan maintenance in the upcoming maintenance window to prevent escalation.
99,138.22,Healthy,Continue normal operation,Low,Engine operates within healthy parameters; continue routine monitoring.
100,16.66,Immediate Inspection Required,Inspect immediately,Critical,RUL is critically low; immediate inspection is required to prevent failure.
